,ISIN code,Instrument,Sector
0,MA0000012296,AFMA,Insurance
1,MA0000012114,AFRIC INDUSTRIES SA,Construction & Building Materials
2,MA0000010951,AFRIQUIA GAZ,Oil & Gas
3,MA0000010944,AGMA,Insurance
4,MA0000012585,AKDITAL,Health
5,MA0000011819,ALLIANCES,Real estate participation and promotion
6,MA0000010936,ALUMINIUM DU MAROC,Construction & Building Materials
7,MA0000012460,ARADEI CAPITAL,Real estate investment companies
8,MA0000011710,ATLANTASANAD,Insurance
9,MA0000012445,ATTIJARIWAFA BANK,Banks
10,MA0000010969,AUTO HALL,Distributors
11,MA0000011009,AUTO NEJMA,Distributors
12,MA0000011991,BALIMA,Real estate investment companies
13,MA0000012437,BANK OF AFRICA,Banks
14,MA0000011884,BCP,Banks
15,MA0000010811,BMCI,Banks
16,MA0000011868,CARTIER SAADA,Food producers & Processors
17,MA0000010381,CDM,Banks
18,MA0000011454,CIH,Banks
19,MA0000010506,CIMENTS DU MAROC,Construction & Building Materials
20,MA0000011934,COLORADO,Construction & Building Materials
21,MA0000012247,COSUMAR,Food producers & Processors
22,MA0000010340,CTM,Transport
23,MA0000011421,DARI COUSPATE,Food producers & Processors
24,MA0000012551,DELATTRE LEVIVIER MAROC,Engineering & Equipment Industrial Goods
25,MA0000011850,DELTA HOLDING,Holding Companies
26,MA0000010639,DIAC SALAF,Investment Companies & Other Finance
27,MA0000012536,DISTY TECHNOLOGIES,"Materials,Software & Computer Services"
28,MA0000011637,DISWAY,"Materials,Software & Computer Services"
29,MA0000011512,DOUJA PROM ADDOHA,Real estate participation and promotion
30,MA0000011942,ENNAKL,Distributors
31,MA0000010357,EQDOM,Investment Companies & Other Finance
32,MA0000011587,FENIE BROSSETTE,Distributors
33,MA0000011611,HPS,"Materials,Software & Computer Services"
34,MA0000011132,IB MAROC.COM,"Materials,Software & Computer Services"
35,MA0000012387,IMMORENTE INVEST,Real estate investment companies
36,MA0000011579,INVOLYS,"Materials,Software & Computer Services"
37,MA0000011488,ITISSALAT AL-MAGHRIB,Telecommunications
38,MA0000012080,JET CONTRACTORS,Construction & Building Materials
39,MA0000011801,LABEL VIE,Distributors
40,MA0000012320,LAFARGEHOLCIM MAR,Construction & Building Materials
41,MA0000012031,LESIEUR CRISTAL,Food producers & Processors
42,MA0000011678,M2M Group,"Materials,Software & Computer Services"
43,MA0000010985,MAGHREB OXYGENE,Chemicals
44,MA0000011215,MAGHREBAIL,Investment Companies & Other Finance
45,MA0000011058,MANAGEM,Mining
46,MA0000010035,MAROC LEASING,Investment Companies & Other Finance
47,MA0000012593,MED PAPER,Forestry & Paper
48,MA0000012163,MICRODATA,"Materials,Software & Computer Services"
49,MA0000011793,MINIERE TOUISSIT,Mining
50,MA0000012395,MUTANDIS SCA,Food producers & Processors
51,MA0000010415,OULMES,Beverages
52,MA0000011660,PROMOPHARM S.A.,Pharmaceutical Industry
53,MA0000011595,REALISATIONS MECANIQUES,Distributors
54,MA0000010993,REBAB COMPANY,Mining
55,MA0000012239,RES DAR SAADA,Real estate participation and promotion
56,MA0000011462,RISMA,Leisures and Hotels
57,MA0000012106,S.M MONETIQUE,"Materials,Software & Computer Services"
58,MA0000011744,SALAFIN,Investment Companies & Other Finance
59,MA0000010803,SAMIR,Oil & Gas
60,MA0000012007,SANLAM MAROC,Insurance
61,MA0000010068,SMI,Mining
62,MA0000011728,SNEP,Chemicals
63,MA0000010365,SOCIETE DES BOISSONS DU MAROC,Beverages
64,MA0000012312,SODEP-Marsa Maroc,Transportation Services
65,MA0000010019,SONASID,Construction & Building Materials
66,MA0000012502,SOTHEMA,Pharmaceutical Industry
67,MA0000011843,STOKVIS NORD AFRIQUE,Distributors
68,MA0000012056,STROC INDUSTRIE,Engineering & Equipment Industrial Goods
69,MA0000012205,TAQA MOROCCO,Electricity
70,MA0000012528,TGCC S.A,Construction & Building Materials
71,MA0000011686,TIMAR,Transport
72,MA0000012262,TOTALENERGIES MARKETING MAROC,Oil & Gas
73,MA0000012023,UNIMER,Food producers & Processors
